,Month,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
211,1980-07-30,00:00:00,11.0,5.6,17.2,,,84.66,0.0,4.08,1.32,1980-07-30
212,1980-07-31,00:00:00,11.8,8.7,16.6,,,82.33,1.2,4.79,1.54,1980-07-31
213,1980-08-01,00:00:00,11.4,5.0,17.5,,,79.6,0.0,4.3,1.11,1980-08-01
214,1980-08-02,00:00:00,14.275,7.6,22.0,,,78.3333333333,0.0,4.52,1.13,1980-08-02
215,1980-08-03,00:00:00,13.625,8.0,18.8,,,75.3333333333,0.0,9.46,1.74,1980-08-03
216,1980-08-04,00:00:00,14.8,10.1,19.5,,,73.6666666667,0.0,3.9,1.06,1980-08-04
217,1980-08-05,00:00:00,13.6,10.1,17.6,,,79.0,0.6000000000000001,,1.04,1980-08-05
218,1980-08-06,00:00:00,12.6,10.2,16.0,,,83.6666666667,0.0,,0.98,1980-08-06
219,1980-08-07,00:00:00,12.2,9.3,17.2,,,83.3,5.3,2.51,1.16,1980-08-07
220,1980-08-08,00:00:00,10.85,10.4,14.0,,,89.6,0.4,1.43,0.72,1980-08-08
221,1980-08-09,00:00:00,13.45,10.6,18.0,,,82.33,2.9,5.11,1.37,1980-08-09
222,1980-08-10,00:00:00,13.2,9.8,17.2,,,81.6,1.3,2.86,0.5700000000000001,1980-08-10
223,1980-08-11,00:00:00,10.27,9.9,15.0,,,84.3,6.6,2.1,0.77,1980-08-11
224,1980-08-12,00:00:00,12.67,9.6,16.0,,,87.66,0.0,1.71,0.78,1980-08-12
225,1980-08-13,00:00:00,13.2,7.2,18.0,,,78.3,0.0,4.28,1.15,1980-08-13
226,1980-08-14,00:00:00,11.8,6.8,16.2,,,88.0,1.4,2.26,0.92,1980-08-14
227,1980-08-15,00:00:00,12.3,9.0,15.5,,,85.6,0.3,2.52,1.08,1980-08-15
228,1980-08-16,00:00:00,11.5,9.4,16.0,,,85.0,0.0,2.78,1.12,1980-08-16
229,1980-08-17,00:00:00,12.6,7.4,17.5,,,82.3,0.0,3.78,1.19,1980-08-17
230,1980-08-18,00:00:00,11.6,9.5,17.2,,,82.3,0.8,2.7,0.98,1980-08-18
231,1980-08-19,00:00:00,10.97,7.5,16.2,,,86.6,0.4,2.7,1.14,1980-08-19
232,1980-08-20,00:00:00,11.82,8.4,17.1,,,80.66,0.0,3.7,1.21,1980-08-20
233,1980-08-21,00:00:00,11.1,4.0,16.2,,,81.33,0.0,3.26,1.2,1980-08-21
234,1980-08-22,00:00:00,12.37,5.2,17.0,,,78.6,0.9,3.9,1.42,1980-08-22
235,1980-08-23,00:00:00,11.22,8.2,15.5,,,80.0,0.0,3.38,1.79,1980-08-23
236,1980-08-24,00:00:00,11.75,6.2,17.0,,,75.33,0.0,5.73,1.85,1980-08-24
237,1980-08-25,00:00:00,12.47,5.2,17.6,,,82.0,1.0,3.43,1.3,1980-08-25
238,1980-08-26,00:00:00,12.4,8.2,16.5,,,84.3,8.8,5.06,1.85,1980-08-26
239,1980-08-27,00:00:00,10.35,9.2,13.5,,,89.6,4.9,1.41,1.44,1980-08-27
240,1980-08-28,00:00:00,10.35,8.0,12.6,,,,2.0,1.11,0.62,1980-08-28
241,1980-08-29,00:00:00,11.62,8.9,14.5,,,,3.5,1.52,0.56,1980-08-29
242,1980-08-30,00:00:00,11.5,7.4,16.0,,,84.3,0.0,2.98,0.95,1980-08-30
243,1980-08-31,00:00:00,12.7,5.4,16.8,,,81.0,0.3,2.29,1.89,1980-08-31
244,1980-09-01,00:00:00,11.95,3.2,18.0,,,80.0,0.0,3.7,1.05,1980-09-01
245,1980-09-02,00:00:00,14.6,9.6,21.2,,,72.0,0.0,3.78,1.05,1980-09-02
246,1980-09-03,00:00:00,12.5,5.4,18.0,,,78.6666666667,0.0,5.0,1.44,1980-09-03
247,1980-09-04,00:00:00,14.375,8.2,22.0,,,77.0,0.0,4.82,0.89,1980-09-04
248,1980-09-05,00:00:00,14.2,10.5,18.8,,,82.3333333333,5.7,,0.99,1980-09-05
249,1980-09-06,00:00:00,13.1,8.6,17.0,,,85.3333333333,7.6,,1.03,1980-09-06
250,1980-09-07,00:00:00,11.3,6.4,14.0,,,,3.9,0.42,0.23,1980-09-07
251,1980-09-08,00:00:00,11.05,6.4,15.0,,,84.6,0.0,2.33,1.09,1980-09-08
252,1980-09-09,00:00:00,12.25,10.2,16.2,,,83.33,0.0,2.54,1.27,1980-09-09
253,1980-09-10,00:00:00,13.45,11.2,16.8,,,86.33,1.1,3.49,1.18,1980-09-10
254,1980-09-11,00:00:00,11.97,8.6,17.9,,,74.6,0.0,4.07,0.85,1980-09-11
255,1980-09-12,00:00:00,13.02,5.5,18.9,,,80.66,0.0,4.01,1.12,1980-09-12
